15_01|walk/wander
15_02|climb, step over, sit on, stand on stepstool
15_03|walk/wander
15_04|wash windows, paint; hand signals; dance - Egyptian walk, the Dive, the Twist, the Cabbage Patch; boxing
15_05|wash windows, paint; hand signals; dance - Egyptian walk, the Dive, the Twist, the Cabbage Patch; boxing
15_06|lean forward, reach for
15_07|lean forward, tiptoe, reach for
15_08|hand signals - horizontally revolve forearms
15_09|walk/wander
15_10|sit on high stool, stand up
15_11|wash windows, paint figure eights; hand signals
15_12|wash windows; basketball - dribble, lay-up shot, pass; throw ball; dance - Egyptian walk, the Dive, the Twist; strew
15_13|boxing
15_14|walk/wander
12_01|walk
12_02|walk
12_03|walk
12_04|tai chi
131_01|Start Walk Stop
131_02|Start Walk Stop
131_03|Start Hop Stop
131_04|Start Hop Stop
131_05|Start Duck Underneath Stop
131_06|Start Duck Underneath Stop
131_07|Jump Stop
131_08|Jump Stop
131_09|Start Walk Left
131_10|Start Walk Left
131_11|Start Walk Left
131_12|Start Walk Right
131_13|Start Walk Right
131_14|Start Walk Right
05_01|walk
05_02|dance - expressive arms, pirouette
05_03|dance - sideways arabesque, turn step, folding arms
05_04|dance - sideways arabesque, folding arms, bending back
05_05|dance - quasi-cou-de-pied, raised leg above hip-height, jete en tourant
05_06|dance - cartwheel-like start, pirouettes, jete
05_07|dance - small jetes, attitude/arabesque, shifted-axis pirouette, turn
05_08|dance - rond de jambe in the air, jete, turn
05_09|dance - glissade devant, glissade derriere, attitude/arabesque
05_10|dance - glissade devant, glissade derriere, attitude/arabesque
05_11|dance - sideways steps, pirouette
05_12|dance - arms held high, pointe tendue a terre, upper body rotation
05_13|dance - small jetes, pirouette
05_14|dance - retire derriere, attitude/arabesque
05_15|dance - retire derriere, attitude/arabesque
05_16|dance - coupe dessous, jete en tourant
05_17|dance - coupe dessous, grand jete en tourant
05_18|dance - attitude/arabesque, jete en tourant, bending back
05_19|dance - attitude/arabesque, jete en tourant, bending back
05_20|dance - attitude/arabesque, jete en tourant, bending back
16_01|jump
16_02|jump
16_03|high jump
16_04|high jump
16_05|forward jump
16_06|forward jump
16_07|forward jump
16_08|run/jog, sudden stop
16_09|forward jump
16_10|forward jump
16_11|walk, veer left
16_12|walk, veer left
16_13|walk, veer right
16_14|walk, veer right
16_15|walk
16_16|walk
16_17|walk, 90-degree left turn
16_18|walk, 90-degree left turn
16_19|walk, 90-degree right turn
16_20|walk, 90-degree right turn
16_21|walk
16_22|walk
16_23|walk, veer left
16_24|walk, veer left
16_25|walk, veer right
16_26|walk, veer right
16_27|walk, 90-degree left turn
16_28|walk, 90-degree left turn
16_29|walk, 90-degree right turn
16_30|walk, 90-degree right turn
16_31|walk
16_32|walk
16_33|slow walk, stop
16_34|slow walk, stop
16_35|run/jog
16_36|run/jog
16_37|run/jog, veer left
16_38|run/jog, veer left
16_39|run/jog, veer right
16_40|run/jog, veer right
16_41|run/jog, 90-degree left turn
16_42|run/jog, 90-degree left turn
16_43|run/jog, 90-degree right turn
16_44|run/jog, 90-degree right turn
16_45|run/jog
16_46|run/jog
16_47|walk
16_48|run, veer left
16_49|run, veer right
16_50|run, veer right
16_51|run, 90-degree left turn
16_52|run, 90-degree left turn
16_53|run, 90-degree right turn
16_54|run, 90-degree right turn
16_55|run
16_56|run/jog
16_57|run/jog, sudden stop
16_58|walk
01_01|playground - forward jumps, turn around
01_02|playground - climb
01_03|playground - climb, hang, swing
01_04|playground - climb
01_05|playground - climb, go under
01_06|playground - climb, sit, dangle legs, descend
01_07|playground - climb, sit, dangle legs, jump down
01_08|playground - climb, sit, dangle legs, rock back, lower self to ground
01_09|playground - climb, hang, hold self up with arms straight, swing, drop, sit, dangle legs, go under
01_10|playground - climb, swing, lean back, drop
01_11|playground - climb, hang, lean over, jump down
01_12|playground - climb, pull up, dangle, sit, lower self to ground
01_13|playground - climb, go under, jump down
01_14|playground - climb, jump down, dangle, legs push off against
128_01|Motorcycle
128_02|Run Left
128_03|Run Right
128_04|Run Duck Underneath
128_05|Run Stop Run
128_06|Run Stop Run
128_07|Run Stop Run
128_08|Run Stop Run
128_09|Run Roll Underneath
128_10|Run Dive Over Roll Run
128_11|Run Dive Over Roll Run
82_01|Static pose
82_02|Jump off ledge
82_03|Jump off ledge
82_04|Jump off ledge
82_05|sitting on ground relaxing
82_06|Pushing on heavy object
82_07|Pushing on heavy object
82_08|stand still; casual walk forward
82_09|confident walk forward
82_10|sad walk forward
82_11|normal walk forward
82_12|happy or fast walk forward
82_13|normal walk forward
82_14|walk forward and slow down
82_15|walk forward and turn sideways
82_16|bang on high object
82_17|bang on high object
82_18|static pose
81_01|fix hair and walk forward
81_02|walk forward
81_03|walk
81_04|walk at a brisk pace
81_05|push heavy object
81_06|push heavy box
81_07|pull heavy object
81_08|drag heavy object
81_09|drag heavy object
81_10|push object that is high in air
81_11|push object that is high in air
81_12|jump backwards off ledge
81_13|jump backwards off ledge
81_14|climb backwards off ledge
81_15|climb backwards off ledge
81_17|walk forward
81_18|adjust hair walk forward
85_01|JumpTwist
85_02|JumpTwist
85_03|UpRightSequence
85_04|FancyFootWork
85_05|HandStandKicks
85_06|KickFlip
85_07|KickFlipStumble
85_08|Helicopter
85_09|motorcycle pose
85_10|EndofBreakDance
85_11|UpRightSequence
85_12|LongSequenceGood
85_13|BadStartSequnce
85_14|BreakSequencewithFlips
85_15|90TwistsFall
139_01|Looking Around
139_02|Shifting Weight
139_03|Looking Around
139_04|Looking Around
139_05|Pulling a Gun
139_06|Poking Around On The Ground
139_07|Poking Around On The Ground
139_08|Poking Around On The Ground
139_09|Ducking
139_10|Run
139_11|Run To Sneak
139_12|Run in Circles
139_13|Run in Circles
139_14|Sneak Sideways
139_15|Sneak Sideways
139_16|Get Up From Ground
139_17|Get Up From Ground
139_18|Get Up From Ground Laying on Back
139_19|Walk Wounded Leg
139_20|Walk Wounded Leg
139_21|Range Of Motion
139_22|Walk Wounded Leg
139_23|Walk Wounded Leg
139_24|Walk Wounded Leg
139_25|Giving Directions
139_26|Looking Around
139_27|Looking Around
139_28|Walking
139_29|Sneaking
139_30|Walking
139_31|Sneaking
139_32|Sneaking
139_33|Sneaking
139_34|Sneaking
87_01|Jump with kick and spin
87_02|T-Pose
87_03|Backflip
87_04|backflip
87_05|cartwheels
126_01|Back Stroke
126_02|Back Stroke
126_03|Breast Stroke
126_04|Breast Stroke
126_05|Breast Stroke
126_06|Fly Stroke
126_07|Fly Stroke
126_08|Fly Stroke
126_09|Fly Stroke
126_10|Free Style
126_11|Free Style
126_12|Free Style
126_13|Motorcycle
126_14|Range of Motion
90_01|bkwd summersult
90_02|cartwheel
90_03|cartwheel
90_04|cartwheel
90_05|jump kick
90_06|jump kick
90_07|jump kick
90_08|side flip
90_09|Flip forward onto hands and back again
90_11|hand spring
90_12|bck flp twst fall
90_13|bck flp twst fall
90_14|front hand flip
90_15|front hand flip
90_16|fall on face
90_17|BannanaPeelSlip
90_18|RugPullFall
90_19|monkey backflip
90_20|monkey sequence
90_21|monkey sequence
90_22|straight walk
90_23|straight walk
90_24|ball mount
90_25|fwd ball walk
90_26|fwd ball walk
90_27|bwk ball walk
90_28|breakdance
90_29|sequesnce
90_30|russian dance
90_31|russian dance
90_32|moonwalk
90_33|arm up wide leg roll
90_34|wide leg roll
90_35|wide leg roll
90_36|wide leg roll
32_01|walk
32_02|walk
32_03|basketball signals
32_04|"nursery rhyme - ""I'm a little teapot..."""
32_05|Alaskan vacation
32_06|nursery rhyme - Cock Robin
32_07|basketball signals
32_08|"nursery rhyme - ""I'm a little teapot..."""
32_09|Alaskan vacation
32_10|nursery rhyme - Cock Robin
32_11|Alaskan vacation
32_12|Alaskan vacation
32_13|prairie dog (human subject)
32_14|bear (human subject)
32_15|dog (human subject)
32_16|cat (human subject)
32_17|elephant (human subject)
32_18|mouse (human subject)
32_19|chicken (human subject)
32_20|Tyrannosaurus rex (human subject)
32_21|snake (human subject)
32_22|monkey (human subject)
102_01|RightWideTurn
102_02|LeftWideTurn
102_03|SuperTightLeft
102_04|SuperTightRight
102_05|RunningStraight
102_06|RunningWideRight
102_07|RunningWideLeft
102_08|RunningTighterRight
102_09|calibration
102_10|RunningNoBall
102_11|OffensiveMoveSpinLeft
102_12|OffensiveMoveSpinLeft
102_13|OffensiveMoveGoRight
102_14|OffensiveMoveGoLeft
102_15|OffensiveMoveSpinRight
102_16|WalkEvasiveLeft
102_17|WalkEvasiveRight
102_18|FeintLeftMoveRight
102_19|FeintRightMoveLeft
102_20|FakeShotBreakRight
102_21|FakeShotBreakLeft
102_22|DefensiveStraightNoStop
102_23|DefensiveStraightWithStop
102_24|DefensiveRightStopToStop
102_25|DefensiveLeftStopToStop
102_26|DefensiveMoveZigZag
102_27|DefensiveMoveSideToSide
102_28|DefensiveMoveSideToSide
102_29|Pivoting
102_30|SraightDriveFromStop
102_31|RightDrive (left then right)
102_32|LeftDrive (right then left)
102_33|RightTightTurn
118_01|Jump
118_02|Jump
118_03|Jump
118_04|Jump
118_05|Jump
118_06|Jump
118_07|Jump
118_08|Jump
118_09|Jump
118_10|Jump
118_11|Jump
118_12|Jump
118_13|Jump
118_14|Jump
118_15|Jump
118_16|Jump
118_17|Jump
118_18|Jump
118_19|Jump
118_20|Jump
118_21|Jump
118_22|Jump
118_23|Jump
118_24|Jump
118_25|Jump
118_26|Jump
118_27|Jump
118_28|Jump
118_29|Jump
118_30|Jump
118_31|Motorcycle
118_32|Range of motion
88_01|backflip
88_02|backflips, jump onto platform, handstands, vertical pushups
88_03|motorcycle pose
88_04|stretches, cartwheels, flips, spin kicks, spins, and fall
88_05|cartwheel into backflip
88_06|jump and spin kick
88_07|cartwheel
88_08|crouch and flip backward on hands
88_09|stretch and cartwheel
88_10|stretch and spin
88_11|stretches and jumps
28_01|basketball signals
28_02|"nursery rhyme - ""I'm a little teapot..."""
28_03|Alaskan vacation
28_04|nursery rhyme - Cock Robin
28_05|basketball signals
28_06|"nursery rhyme - ""I'm a little teapot..."""
28_07|Alaskan vacation
28_08|nursery rhyme - Cock Robin
28_09|prairie dog (human subject)
28_10|whale (human subject)
28_11|bear (human subject)
28_12|dog (human subject)
28_13|snake (human subject)
28_14|chicken (human subject)
28_15|monkey (human subject)
28_16|mouse (human subject)
28_17|cat (human subject)
28_18|elephant (human subject)
28_19|dinosaur (human subject)
125_01|Breast Stroke
125_02|Breast Stroke
125_03|Break Stroke
125_04|Breast Stroke
125_05|Butterfly
125_06|Free Style
125_07|Motorcycle
29_01|walk
29_02|basketball signals
29_03|"nursery rhyme - ""I'm a little teapot..."""
29_04|Alaskan vacation
29_05|Alaskan vacation
29_06|nursery rhyme - Cock Robin
29_07|basketball signals
29_08|"nursery rhyme - ""I'm a little teapot..."""
29_09|Alaskan vacation
29_10|nursery rhyme - Cock Robin
29_11|Alaskan vacation
29_12|Alaskan vacation
29_13|Alaskan vacation
29_14|prairie dog (human subject)
29_15|whale (human subject)
29_16|bear (human subject)
29_17|dog (human subject)
29_18|cat (human subject)
29_19|fish (human subject)
29_20|elephant (human subject)
29_21|mouse (human subject)
29_22|chicken (human subject)
29_23|dinosaur (human subject)
29_24|snake (human subject)
29_25|monkey (human subject)
31_01|basketball signals
31_02|"nursery rhyme - ""I'm a little teapot..."""
31_03|Alaskan vacation
31_04|nursery rhyme - Cock Robin
31_05|basketball signals
31_06|"nursery rhyme - ""I'm a little teapot..."""
31_07|Alaskan vacation
31_08|nursery rhyme - Cock Robin
31_09|Alaskan vacation
31_10|Alaskan vacation
31_11|prairie dog (human subject)
31_12|whale (human subject)
31_13|bear (human subject)
31_14|dog (human subject)
31_15|cat (human subject)
31_16|elephant (human subject)
31_17|Tyrannosaurus rex (human subject)
31_18|mouse (human subject)
31_19|chicken (human subject)
31_20|snake (human subject)
31_21|monkey (human subject)
86_01|jumps kicks and punches
86_02|walk, squats, run, stretch, jumps, punches, and drinking
86_03|walking, running, jumping, kicking, and stretching
86_04|walking, stretching, punching, chopping, and drinking
86_05|walking, jumping, jumping jacks,  jumping on one foot, punching, chopping,
86_06|walking, running, kicking, punching, knee kicking, and stretching
86_07|walking, swinging arms, stretching, jumping on one leg, and jumping
86_08|walking, squats, stretching, kicking, and punching
86_09|walking, sitting, looking, stand up
86_10|walk around, sit, stand up, and running
86_11|walking, stretching, walking and turning
86_12|walking, dragging, sweeping, dustpan, wipe window, and wipe mirror
86_13|walking around, walk up ladder, step down ladder
86_14|bouncing basketball, shooting basketball, dribble basketball, two handed dribble
86_15|walking, sitting, hand motions
60_01|salsa dance
60_02|salsa dance
60_03|salsa dance
60_04|salsa dance
60_05|salsa dance
60_06|salsa dance
60_07|salsa dance
60_08|salsa dance
60_09|salsa dance
60_10|salsa dance
60_11|salsa dance
60_12|salsa dance
60_13|salsa dance
60_14|salsa dance
60_15|salsa dance
76_01|walk backwards then attack with a punch
76_02|walk backwards, feign a few attacks, then attack
76_03|avoid attacker
76_04|defensive guard pose
76_05|swatting at pesky bug
76_06|avoid stepping on something
76_07|76_07.avi
76_08|careful stepping over things
76_09|walking backwards
76_10|turning
76_11|quick large steps backwards
06_01|walk
06_02|basketball - forward dribble
06_03|basketball - forward dribble
06_04|basketball - forward dribble
06_05|basketball - forward dribble
06_06|basketball - backward dribble
06_07|basketball - backward dribble
06_08|basketball - sideways dribble
06_09|basketball - sideways dribble
06_10|basketball - forward dribble, 90-degree left turns
06_11|basketball - forward dribble, 90-degree right turns
06_12|basketball - forward dribble, 90-degree right turns, crossover dribble
06_13|basketball - low, fast free style dribble, dribble through legs
06_14|basketball - crossover dribble, shoot
06_15|basketball - dribble, shoot
11_01|soccer - kick ball
89_01|balance object on forehead
89_02|motorcycle pose
89_03|flip and stand on one hand
89_04|spins, flips, stand on one hand
89_05|spin upside down, handstand, flips
89_06|balance beam
39_01|walk
39_02|walk
39_03|walk
39_04|walk
39_05|walk
39_06|walk
39_07|walk
39_08|walk
39_09|walk
39_10|walk
39_11|walk forward, turn around, walk back
39_12|walk
39_13|walk
39_14|walk
74_01|stiff walk
74_02|stiff walk
74_03|kick
74_04|kick
74_05|kick
74_06|kick
74_07|lifting up
74_08|lifting up
74_09|74_09.avi
74_10|peeping
74_11|peeping
74_12|thinker
74_13|Range of motion
74_14|slope 1
74_15|slope1
74_16|slope 2
74_17|slope 2
74_18|slope 3
74_19|slope 3
74_20|stiff walk
61_01|salsa dance
61_02|salsa dance
61_03|salsa dance
61_04|salsa dance
61_05|salsa dance
61_06|salsa dance
61_07|salsa dance
61_08|salsa dance
61_09|salsa dance
61_10|salsa dance
61_11|salsa dance
61_12|salsa dance
61_13|salsa dance
61_14|salsa dance
61_15|salsa dance
26_01|walk
26_02|basketball signals
26_03|"nursery rhyme - ""I'm a little teapot..."""
26_04|"nursery rhyme - ""I'm a little teapot..."""
26_05|Alaska vacation
26_06|Alaska vacation
26_07|nursery rhyme - Cock Robin
26_08|nursery rhyme - Cock Robin
26_09|bend, pick up
26_10|bend, lift
26_11|bend, lift
33_01|football - throw, catch (2 subjects - subject A)
33_02|football - throw, catch, jump around (2 subjects - subject A)
30_01|basketball signals
30_02|"nursery rhyme - ""I'm a little teapot..."""
30_03|Alaskan vacation
30_04|Alaskan vacation
30_05|nursery rhyme - Cock Robin
30_06|nursery rhyme - Cock Robin
30_07|basketball signals
30_08|"nursery rhyme - ""I'm a little teapot..."""
30_09|Alaskan vacation
30_10|nursery rhyme - Cock Robin
30_11|Alaskan vacation
30_12|Alaskan vacation
30_13|prairie dog (human subject)
30_14|whale (human subject)
30_15|bear (human subject)
30_16|dog (human subject)
30_17|cat (human subject)
30_18|elephant (human subject)
30_19|mouse (human subject)
30_20|chicken (human subject)
30_21|snake (human subject)
30_22|Tyrannosaurus rex (human subject)
30_23|monkey (human subject)
49_01|walk
49_02|jump up and down, hop on one foot
49_03|jump up and down, hop on one foot
49_04|run, leap
49_05|run, leap
49_06|cartwheel
49_07|cartwheel
49_08|cartwheels
49_09|dance - arms held high, side arabesque
49_10|dance - fold in from side arabesque, curl inwards
49_11|dance - fold in from side arabesque, curl inwards
49_12|dance - lean forward, bring back leg forward, arching arms
49_13|dance - fold in from side arabesque, curl inwards
49_14|dance - lean forward, bring back leg forward, arching arms
49_15|static dance pose - folded in, head lowered, leg bent
49_16|dance - fold in from side arabesque, curl inwards
49_17|dance - lean forward, bring back leg forward, arching arms
49_18|balance on one leg, outstretched arms
49_19|balance on one leg, outstretched arms
49_20|balance on one leg, outstretched arms
49_21|acrobatics - spin/twirl, hang on ropes
49_22|dance - lean back on bent leg, balance, bend elbow by ear
63_01|Swing
75_01|run jump
75_02|run jump
75_03|run jump
75_04|wide leg run
75_05|cross leg run
75_06|180 jump
75_07|angle jumps
75_08|360 jumps
75_09|360 jump
75_10|2 jump
75_11|2 jump
75_12|box jump
75_13|hopscotch
75_14|hopscotch
75_15|long jumps
75_16|jump kick
75_17|medium sit
75_18|high sit
75_19|medium sit
75_20|low sit
27_01|walk
27_02|basketball signals
27_03|"nursery rhyme - ""I'm a little teapot..."""
27_04|Alaskan vacation
27_05|nursery rhyme - Cock Robin
27_06|basketball signals
27_07|"nursery rhyme - ""I'm a little teapot..."""
27_08|Alaskan vacation
27_09|Alaskan vacation
27_10|nursery rhyme - Cock Robin
27_11|prairie dog (human subject)
127_01|Motorcycle
127_02|Range of Motion
127_03|Run
127_04|Walk to Run
127_05|Run to Quick Stop
127_06|Run
127_07|Run
127_08|Run
127_09|Run Right
127_10|Run Right
127_11|Run Left
127_12|Run Left
127_13|Run Side Step Left
127_14|Run Side Step Right
127_15|Run Turn Left
127_16|Run Turn Right
127_17|Run Stop Run
127_18|Run Stop Run
127_19|Run Quick Stop Run
127_20|Run Quick Stop Run
127_21|Run Jump Stop Run
127_22|Run Jump Stop Run
127_23|Run Dive Over Roll Run
127_24|Run Dive Over Roll Run
127_25|Run Jump Over
127_26|Run Jump Over
127_27|Run Jump Over
127_28|Run Jump Over
127_29|Run Duck Underneath
127_30|Run Duck Underneath
127_31|Run Duck Underneath
127_32|Run Duck Underneath
127_33|Run Over
127_34|Run Over
127_35|Run Over
127_36|Run Over
127_37|Run Duck Underneath
127_38|Run Duck Underneath
115_01|Pick up box, bend from waist
115_02|Pick box up, bend from waist
115_03|Pick box up, bend from waist
115_04|Pick box up, bend from waist
115_05|Pick box up, bend from waist
115_06|Picking box up, bending knees
115_07|Picking box up, bending knees
115_08|Picking box up, bending knees
115_09|Picking box up, bending knees
115_10|Pick box up, bend from waist
64_01|Swing
64_02|Swing
64_03|Swing
64_04|Swing
64_05|Swing
64_06|Swing
64_07|Swing
64_08|Swing
64_09|Swing
64_10|Swing
64_11|Putt
64_12|Putt
64_13|Putt
64_14|Putt
64_15|Putt
64_16|Placing Tee
64_17|Placing Tee
64_18|Placing Tee
64_19|Placing Tee
64_20|Placing Tee
64_21|Placing Ball
64_22|Placing Ball
64_23|Placing Ball
64_24|Placing Ball
64_25|Placing Ball
64_26|Picking up Ball
64_27|Picking up Ball
64_28|Picking up Ball
64_29|Picking up Ball
64_30|Picking up Ball
124_01|Baseball Pitch
124_02|Baseball Pitch
124_03|Basketball Shoot
124_04|Basketball Free Throw
124_05|Basketball Jump Shot
124_06|Basketball Lay Up
124_07|Baseball Swing
124_08|Baseball Bunt
124_09|Frisbee
124_10|Motorcycle
124_11|2 Foot Jump
124_12|Underhand Toss
124_13|Underhand Fast Pitch
43_01|walk
43_02|playground - grip bar, swing body
43_03|playground - grip bar, swing body
93_01|Motorcycle Pose
93_02|rangeOfMotion
93_03|charleston_01
93_04|charleston_side_by_side_female
93_05|charleston_side_by_side_male
93_06|lindyHop2
93_07|Casual Walk
93_08|xtra fancY charleston
34_01|football - throw, catch (2 subjects - subject B)
34_02|football - throw, catch, jump around (2 subjects - subject B)
10_01|soccer - kick ball
10_02|soccer - kick ball
10_03|soccer - kick ball
10_04|walk
10_05|soccer - kick ball
10_06|soccer - kick ball
